string,num,list,bool,date,time,truedata
Brebis du Puyfaucon,73,"uy,sdf",true,2/28/1900,3:47 PM,3
Bresse Bleu,72,"one,Two,tHREE",true,3/1/1900,4:48 PM,4
Brie,71,"o,gsd,sdf",false,3/2/1900,11:49 PM,5
Brie de Meaux,70,"8,5,4",true,3/3/1900,1:45 PM,3
Brie de Melun,69,"uy,sdf",true,3/4/1900,2:46 PM,4
Brin d' Amour,68,"one,Two,tHREE",false,3/5/1900,3:47 PM,5
Brin d'Amour,67,"o,gsd,sdf",true,3/6/1900,4:48 PM,3
Brinza (Burduf Brinza),66,"8,5,4",true,3/7/1900,11:49 PM,4
Briquette de Brebis,65,"uy,sdf",false,3/8/1900,1:45 PM,5
Broccio,64,"one,Two,tHREE",true,3/9/1900,2:46 PM,3
Broccio Demi-Affine,63,"o,gsd,sdf",true,3/10/1900,3:47 PM,4
Brousse du Rove,62,"8,5,4",false,3/11/1900,4:48 PM,5
Brusselae Kaas (Fromage de Bruxelles),61,"uy,sdf",true,3/12/1900,11:49 PM,3
Bryndza,60,"one,Two,tHREE",true,3/13/1900,1:45 PM,4
Buchette d'Anjou,59,"o,gsd,sdf",false,3/14/1900,2:46 PM,5
Butte,58,"8,5,4",true,3/15/1900,3:47 PM,3
Button (Innes),57,"uy,sdf",true,3/16/1900,4:48 PM,4
Buxton Blue,56,"one,Two,tHREE",false,3/17/1900,11:49 PM,5
Cabecou,55,"o,gsd,sdf",true,3/18/1900,1:45 PM,3
Caboc,54,"8,5,4",true,3/19/1900,2:46 PM,4
Cachaille,53,"uy,sdf",false,3/20/1900,3:47 PM,5
Caciocavallo,52,"one,Two,tHREE",true,3/21/1900,4:48 PM,3
Caciotta,51,"o,gsd,sdf",true,3/22/1900,11:49 PM,4
Camembert de Normandie,50,"8,5,4",false,3/23/1900,1:45 PM,5
Caprice des Dieux,49,"uy,sdf",true,3/24/1900,2:46 PM,3
Capricorn Goat,48,"one,Two,tHREE",true,3/25/1900,3:47 PM,4
Caravane,47,"o,gsd,sdf",false,3/26/1900,4:48 PM,5
Carre de l'Est,46,"8,5,4",true,3/27/1900,11:49 PM,3
Cashel Blue,45,"uy,sdf",true,3/28/1900,1:45 PM,4
Castelo Branco,44,"one,Two,tHREE",false,3/29/1900,2:46 PM,5
Cathelain,43,"o,gsd,sdf",true,3/30/1900,3:47 PM,3
Cendre d'Olivet,42,"8,5,4",true,3/31/1900,4:48 PM,4
Cerney,41,"uy,sdf",false,4/1/1900,11:49 PM,5
Chabichou,40,"one,Two,tHREE",true,4/2/1900,1:45 PM,3
Chabichou du Poitou,39,"o,gsd,sdf",true,4/3/1900,2:46 PM,4
Chabis de Gatine,38,"8,5,4",false,4/4/1900,3:47 PM,5
Chaource,37,"uy,sdf",true,4/5/1900,4:48 PM,3
Civray,36,"one,Two,tHREE",true,4/6/1900,11:49 PM,4
Coeur de Camembert au Calvados,35,"o,gsd,sdf",false,4/7/1900,1:45 PM,5
Coeur de Chevre,34,"8,5,4",true,4/8/1900,2:46 PM,3
Cold Pack,33,"uy,sdf",true,4/9/1900,3:47 PM,4
Cooleney,32,"one,Two,tHREE",false,4/10/1900,4:48 PM,5
Cornish Pepper,31,"o,gsd,sdf",true,4/11/1900,11:49 PM,3
Cottage Cheese,30,"8,5,4",true,4/12/1900,1:45 PM,4
Cottage Cheese (Australian),29,"uy,sdf",false,4/13/1900,2:46 PM,5
Coulommiers,28,"one,Two,tHREE",true,4/14/1900,3:47 PM,3
Cream Cheese,27,"o,gsd,sdf",true,4/15/1900,4:48 PM,4
Crema Agria,26,"8,5,4",false,4/16/1900,11:49 PM,5
Crema Mexicana,25,"uy,sdf",true,4/17/1900,1:45 PM,3
Creme Fraiche,24,"one,Two,tHREE",true,4/18/1900,2:46 PM,4
Crottin du Chavignol,23,"o,gsd,sdf",false,4/19/1900,3:47 PM,5
Cuajada,22,"8,5,4",true,4/20/1900,4:48 PM,3
Cure Nantais,21,"uy,sdf",true,4/21/1900,11:49 PM,4
Daralagjazsky,20,"one,Two,tHREE",false,4/22/1900,1:45 PM,5
Delice des Fiouves,19,"o,gsd,sdf",true,4/23/1900,2:46 PM,3
Dessertnyj Belyj,18,"8,5,4",true,4/24/1900,3:47 PM,4
Dolcelatte,17,"uy,sdf",false,4/25/1900,4:48 PM,5
Doppelrhamstufel,16,"one,Two,tHREE",true,4/26/1900,11:49 PM,3
Dreux a la Feuille,15,"o,gsd,sdf",true,4/27/1900,1:45 PM,4
Dunbarra,14,"8,5,4",false,4/28/1900,2:46 PM,5
Emlett,13,"uy,sdf",true,4/29/1900,3:47 PM,3
Evansdale Farmhouse Brie,12,"one,Two,tHREE",true,4/30/1900,4:48 PM,4
Explorateur,11,"o,gsd,sdf",false,5/1/1900,11:49 PM,5
Farmer,10,"8,5,4",true,5/2/1900,1:45 PM,3
Feta,9,"uy,sdf",true,5/3/1900,2:46 PM,4
Figue,8,"one,Two,tHREE",false,5/4/1900,3:47 PM,5
Fin-de-Siecle,7,"o,gsd,sdf",true,5/5/1900,4:48 PM,3
Finn,6,"8,5,4",true,5/6/1900,11:49 PM,4
Fleur du Maquis,5,"uy,sdf",false,5/7/1900,1:45 PM,5
Flor de Guia,4,"one,Two,tHREE",true,5/8/1900,2:46 PM,3
Flower Marie,3,"o,gsd,sdf",true,5/9/1900,3:47 PM,4
Fondant de Brebis,2,"8,5,4",false,5/10/1900,4:48 PM,5
Fontainebleau,1,"uy,sdf",true,5/11/1900,11:49 PM,3
Fougerus,0,"one,Two,tHREE",true,5/12/1900,1:45 PM,4
Fourme de Haute Loire,-1,"o,gsd,sdf",false,5/13/1900,2:46 PM,5
Fresh Mozzarella,-2,"8,5,4",true,5/14/1900,3:47 PM,3
Fresh Ricotta,-3,"uy,sdf",true,5/15/1900,4:48 PM,4
Frinault,-4,"one,Two,tHREE",false,5/16/1900,11:49 PM,5
Fromage Corse,-5,"o,gsd,sdf",true,5/17/1900,1:45 PM,3
Fromage Frais,-6,"8,5,4",true,5/18/1900,2:46 PM,4
Fruit Cream Cheese,-7,"uy,sdf",false,5/19/1900,3:47 PM,5
Galette du Paludier,-8,"one,Two,tHREE",true,5/20/1900,4:48 PM,3
Galette Lyonnaise,-9,"o,gsd,sdf",true,5/21/1900,11:49 PM,4
Gastanberra,-10,"8,5,4",false,5/22/1900,1:45 PM,5
Golden Cross,-11,"uy,sdf",true,5/23/1900,2:46 PM,3
Gorgonzola,-12,"one,Two,tHREE",true,5/24/1900,3:47 PM,4
Grand Vatel,-13,"o,gsd,sdf",false,5/25/1900,4:48 PM,5
Grataron d' Areches,-14,"8,5,4",true,5/26/1900,11:49 PM,3
Gratte-Paille,-15,"uy,sdf",true,5/27/1900,1:45 PM,4
Greuilh,-16,"one,Two,tHREE",false,5/28/1900,2:46 PM,5
Gris de Lille,-17,"o,gsd,sdf",true,5/29/1900,3:47 PM,3
Guerbigny,-18,"8,5,4",true,5/30/1900,4:48 PM,4
Hereford Hop,-19,"uy,sdf",false,5/31/1900,11:49 PM,5
Humboldt Fog,-20,"one,Two,tHREE",true,6/1/1900,1:45 PM,3
Jubilee Blue,-21,"o,gsd,sdf",true,6/2/1900,2:46 PM,4
Kenafa,-22,"8,5,4",false,6/3/1900,3:47 PM,5
Kernhem,-23,"uy,sdf",true,6/4/1900,4:48 PM,3
Kervella Affine,-24,"one,Two,tHREE",true,6/5/1900,11:49 PM,4
King Island Cape Wickham Brie,-25,"o,gsd,sdf",false,6/6/1900,1:45 PM,5
Klosterkaese,-26,"8,5,4",true,6/7/1900,2:46 PM,3
Kugelkase,-27,"uy,sdf",true,6/8/1900,3:47 PM,4
L'Aveyronnais,-28,"one,Two,tHREE",false,6/9/1900,4:48 PM,5
L'Ecir de l'Aubrac,-29,"o,gsd,sdf",true,6/10/1900,11:49 PM,3
La Taupiniere,-30,"8,5,4",true,6/11/1900,1:45 PM,4
La Vache Qui Rit,-31,"uy,sdf",false,6/12/1900,2:46 PM,5
Le Lacandou,-32,"one,Two,tHREE",true,6/13/1900,3:47 PM,3
Le Roule,-33,"o,gsd,sdf",true,6/14/1900,4:48 PM,4
Lebbene,-34,"8,5,4",false,6/15/1900,11:49 PM,5
Limburger,-35,"uy,sdf",true,6/16/1900,1:45 PM,3
Lingot Saint Bousquet d'Orb,-36,"one,Two,tHREE",true,6/17/1900,2:46 PM,4
Little Rydings,-37,"o,gsd,sdf",false,6/18/1900,3:47 PM,5
Lyonnais,-38,"8,5,4",true,6/19/1900,4:48 PM,3
Macconais,-39,"uy,sdf",true,6/20/1900,11:49 PM,4
Mahoe Aged Gouda,-40,"one,Two,tHREE",false,6/21/1900,1:45 PM,5
Maredsous,-41,"o,gsd,sdf",true,6/22/1900,2:46 PM,3
Margotin,-42,"8,5,4",true,6/23/1900,3:47 PM,4
Mascarpone,-43,"uy,sdf",false,6/24/1900,4:48 PM,5
Mascarpone (Australian),-44,"one,Two,tHREE",true,6/25/1900,11:49 PM,3
Mascarpone Torta,-45,"o,gsd,sdf",true,6/26/1900,1:45 PM,4
Metton (Cancoillotte),-46,"8,5,4",false,6/27/1900,2:46 PM,5
